Measure,MeasureType,Year,Ethnicity,GeoArea,AgeGroup,VariableName,Variable,Value,LowerCI,UpperCI,QualityInd
4.4 Acute bed days,Age-standardised rate,2018,Māori,Unknown,Total,bed_days,Stroke and Other Cerebrovascular Disorders,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Unknown,Total,events,Stroke and Other Cerebrovascular Disorders,s,s,s,NA
4.4 Acute bed days,Count,2018,Māori,Unknown,Total,events,Stroke and Other Cerebrovascular Disorders,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Unknown,Total,people,Stroke and Other Cerebrovascular Disorders,s,s,s,NA
4.4 Acute bed days,Count,2018,Māori,Unknown,Total,people,Stroke and Other Cerebrovascular Disorders,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2019,Māori,Unknown,Total,bed_days,Seizures,s,s,s,NA
4.4 Acute bed days,Count,2019,Māori,Unknown,Total,bed_days,Seizures,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2019,Māori,Unknown,Total,events,Seizures,s,s,s,NA
4.4 Acute bed days,Count,2019,Māori,Unknown,Total,events,Seizures,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2019,Māori,Unknown,Total,people,Seizures,s,s,s,NA
4.4 Acute bed days,Count,2019,Māori,Unknown,Total,people,Seizures,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Unknown,Total,bed_days,Stroke and Other Cerebrovascular Disorders,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Unknown,Total,events,Stroke and Other Cerebrovascular Disorders,s,s,s,NA
4.4 Acute bed days,Count,2020,Māori,Unknown,Total,events,Stroke and Other Cerebrovascular Disorders,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Unknown,Total,people,Stroke and Other Cerebrovascular Disorders,s,s,s,NA
4.4 Acute bed days,Count,2020,Māori,Unknown,Total,people,Stroke and Other Cerebrovascular Disorders,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2021,Māori,Unknown,Total,bed_days,"Arrhythmia, Cardiac Arrest and Conduction Disorders",s,s,s,NA
4.4 Acute bed days,Count,2021,Māori,Unknown,Total,bed_days,"Arrhythmia, Cardiac Arrest and Conduction Disorders",s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2021,Māori,Unknown,Total,events,"Arrhythmia, Cardiac Arrest and Conduction Disorders",s,s,s,NA
4.4 Acute bed days,Count,2021,Māori,Unknown,Total,events,"Arrhythmia, Cardiac Arrest and Conduction Disorders",s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2021,Māori,Unknown,Total,people,"Arrhythmia, Cardiac Arrest and Conduction Disorders",s,s,s,NA
4.4 Acute bed days,Count,2021,Māori,Unknown,Total,people,"Arrhythmia, Cardiac Arrest and Conduction Disorders",s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2022,Māori,Unknown,Total,bed_days,Chronic Obstructive Airways Disease,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2022,Māori,Unknown,Total,events,Chronic Obstructive Airways Disease,s,s,s,NA
4.4 Acute bed days,Count,2022,Māori,Unknown,Total,events,Chronic Obstructive Airways Disease,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2022,Māori,Unknown,Total,people,Chronic Obstructive Airways Disease,s,s,s,NA
4.4 Acute bed days,Count,2022,Māori,Unknown,Total,people,Chronic Obstructive Airways Disease,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2023,Māori,Unknown,Total,bed_days,Seizures,s,s,s,NA
4.4 Acute bed days,Count,2023,Māori,Unknown,Total,bed_days,Seizures,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2023,Māori,Unknown,Total,events,Seizures,s,s,s,NA
4.4 Acute bed days,Count,2023,Māori,Unknown,Total,events,Seizures,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2023,Māori,Unknown,Total,people,Seizures,s,s,s,NA
4.4 Acute bed days,Count,2023,Māori,Unknown,Total,people,Seizures,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2021,Māori,Tūwharetoa,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,3148.1,2761.8,3573.3,NA
4.4 Acute bed days,Crude rate,2021,Māori,Tūwharetoa,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,3148.1,2761.8,3573.3,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Tūwharetoa,Total,bed_days,Hip Replacement for Trauma,572.8,362.7,860.1,NA
4.4 Acute bed days,Crude rate,2018,Māori,Tūwharetoa,Total,bed_days,Hip Replacement for Trauma,572.8,362.7,860.1,NA
4.4 Acute bed days,Age-standardised rate,2021,Māori,Te Karu o te Ika Poari Hauora,Total,bed_days,Infectious and Parasitic Diseases W GIs,414.3,343.5,495.5,NA
4.4 Acute bed days,Crude rate,2021,Māori,Te Karu o te Ika Poari Hauora,Total,bed_days,Infectious and Parasitic Diseases W GIs,414.3,343.5,495.5,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Te Kahui Hauora o Te Tau Ihu,Total,bed_days,Other Follow Up After Surgery or Medical Care,292.4,203.9,406.2,NA
4.4 Acute bed days,Crude rate,2018,Māori,Te Kahui Hauora o Te Tau Ihu,Total,bed_days,Other Follow Up After Surgery or Medical Care,303.8,203.9,406.2,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Unknown,Total,bed_days,Respiratory Infections and Inflammations,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Unknown,Total,events,Respiratory Infections and Inflammations,s,s,s,NA
4.4 Acute bed days,Count,2018,Māori,Unknown,Total,events,Respiratory Infections and Inflammations,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Unknown,Total,people,Respiratory Infections and Inflammations,s,s,s,NA
